Age,Gender,Time
34,"{'Woman': np.float32(0.6263859), 'Man': np.float32(99.37361)}",2025-08-01 08:58:28
36,"{'Woman': np.float32(0.6181848), 'Man': np.float32(99.38181)}",2025-08-01 08:58:29
34,"{'Woman': np.float32(0.8347659), 'Man': np.float32(99.16523)}",2025-08-01 08:58:30
34,"{'Woman': np.float32(0.66026264), 'Man': np.float32(99.33974)}",2025-08-01 08:58:31
35,"{'Woman': np.float32(0.46643367), 'Man': np.float32(99.53356)}",2025-08-01 08:58:32
35,"{'Woman': np.float32(0.6735355), 'Man': np.float32(99.32647)}",2025-08-01 08:58:33
34,"{'Woman': np.float32(1.0258745), 'Man': np.float32(98.97412)}",2025-08-01 08:58:34
34,"{'Woman': np.float32(0.7959555), 'Man': np.float32(99.20405)}",2025-08-01 08:58:36
34,"{'Woman': np.float32(0.78922164), 'Man': np.float32(99.21078)}",2025-08-01 08:58:36
36,"{'Woman': np.float32(0.5968963), 'Man': np.float32(99.4031)}",2025-08-01 08:58:37
37,"{'Woman': np.float32(0.66331214), 'Man': np.float32(99.33669)}",2025-08-01 08:58:38
34,"{'Woman': np.float32(0.5983653), 'Man': np.float32(99.40163)}",2025-08-01 08:58:39
37,"{'Woman': np.float32(0.584651), 'Man': np.float32(99.41536)}",2025-08-01 08:58:40
33,"{'Woman': np.float32(0.50066775), 'Man': np.float32(99.49934)}",2025-08-01 08:58:41
37,"{'Woman': np.float32(0.63218945), 'Man': np.float32(99.36781)}",2025-08-01 08:58:42
36,"{'Woman': np.float32(0.643914), 'Man': np.float32(99.356094)}",2025-08-01 08:58:43
34,"{'Woman': np.float32(0.7422479), 'Man': np.float32(99.25775)}",2025-08-01 08:58:44
35,"{'Woman': np.float32(0.60782075), 'Man': np.float32(99.39217)}",2025-08-01 08:58:45
34,"{'Woman': np.float32(0.58694494), 'Man': np.float32(99.413055)}",2025-08-01 08:58:46
37,"{'Woman': np.float32(0.40428424), 'Man': np.float32(99.59572)}",2025-08-01 08:58:48
36,"{'Woman': np.float32(0.34233576), 'Man': np.float32(99.65766)}",2025-08-01 08:58:49
